feature,meansArray
Xkr4,1.49197048611111e-05
Gm1992,0
Gm37381,0
Rp1,1.35633680555556e-06
Rp1.1,0
Sox17,5.42534722222222e-06
Gm37323,0
Mrpl15,0.00249159071180556
Lypla1,0.000401475694444444
Gm37988,0
Tcea1,0.00128987630208333
Rgs20,0.000238715277777778
Gm16041,0
Atp6v1h,0.00126003689236111
Oprk1,0
Npbwr1,1.35633680555556e-06
Rb1cc1,0.000652398003472222
4732440D04Rik,5.69661458333333e-05
Fam150a,0
St18,3.11957465277778e-05
Pcmtd1,0.000750054253472222
Gm26901,2.84830729166667e-05
Gm30414,0
Sntg1,1.76323784722222e-05
Rrs1,0.000743272569444444
Adhfe1,2.17013888888889e-05
3110035E14Rik,0.000187174479166667
Gm29520,0
Mybl1,2.57703993055556e-05
Vcpip1,0.000196668836805556
1700034P13Rik,4.06901041666667e-06
Sgk3,4.20464409722222e-05
Mcmdc2,1.62760416666667e-05
Snhg6,0.00343153211805556
Tcf24,0
Ppp1r42,4.06901041666667e-06
Gm15818,0
Cops5,0.00286729600694444
Cspp1,0.00106065538194444
Arfgef1,0.0003173828125
Cpa6,1.35633680555556e-06
Prex2,3.662109375e-05
A830018L16Rik,2.30577256944444e-05
Gm17644,0
Gm29663,0
Sulf1,1.49197048611111e-05
Slco5a1,0.000307888454861111
Gm29283,0
Prdm14,0
Ncoa2,0.000233289930555556
Gm29570,0
Tram1,0.000447591145833333
Lactb2,4.06901041666667e-05
Xkr9,0
Eya1,0.000141059027777778
Gm9947,1.35633680555556e-06
Msc,2.71267361111111e-06
Trpa1,0
Kcnb2,0.000306532118055556
Terf1,0.000348578559027778
Sbspon,2.71267361111111e-06
4930444P10Rik,2.71267361111111e-05
Rpl7,0.04906005859375
Rdh10,5.69661458333333e-05
Gm28095,0
Stau2,0.000998263888888889
Gm7568,0
Ube2w,0.000862630208333333
Tceb1,0.00566541883680556
D030040B21Rik,1.08506944444444e-05
Tmem70,0.00131157769097222
Ly96,4.47591145833333e-05
Gm28376,0
Jph1,7.18858506944445e-05
Gm28783,0
Gdap1,0.000794813368055556
Gm28784,0
Pi15,0
Gm28154,0
Gm16070,2.71267361111111e-06
Crispld1,1.35633680555556e-06
Gm28153,0
Crisp4,0
Defb18,0
Defb41,0
Gm29006,0
Gm15825,0
Tfap2d,8.81618923611111e-05
Tfap2b,1.35633680555556e-06
Gm28340,0
Pkhd1,0
4930486I03Rik,0
Gm28653,0
Il17a,0
Il17f,0
Mcm3,0.000504557291666667
Gm28065,0
6720483E21Rik,5.42534722222222e-06
Paqr8,0.000284830729166667
Efhc1,8.13802083333333e-06
Tram2,2.57703993055556e-05
Gm28287,0
Tmem14a,0.000282118055555556
Gsta3,4.06901041666667e-06
Gm28836,0
Khdc1a,0
Khdc1c,0
Khdc1b,0
Kcnq5,8.13802083333333e-06
Gm26580,0
Rims1,8.00238715277778e-05
4933415F23Rik,1.35633680555556e-06
Gm27028,0
Gm29107,6.78168402777778e-06
Ogfrl1,0.000398763020833333
Gm28822,2.44140625e-05
B3gat2,0.000307888454861111
Smap1,0.00203179253472222
Sdhaf4,0.00197482638888889
Fam135a,0.00020751953125
Col9a1,1.49197048611111e-05
Col19a1,8.13802083333333e-06
Lmbrd1,0.000249565972222222
Gm28237,0
Gm29414,0
Adgrb3,0.000286187065972222
4931408C20Rik,0
Gm5524,0
Gm597,0
Gm9898,0
Phf3,0.00126274956597222
Ptp4a1,0.00281168619791667
Gm29669,0
Gm28644,0
4931428L18Rik,0
Gm29128,0
Lgsn,0
Pih1d3,0
Khdrbs2,0.00109049479166667
Gm5415,1.35633680555556e-06
Gm37724,0
Gm37591,0
Prim2,0.000440809461805556
Rab23,0.000341796875
Bag2,0.000355360243055556
Zfp451,0.000884331597222222
Bend6,0.000192599826388889
Dst,0.000626627604166667
Gm37958,0
Gm37233,2.30577256944444e-05
Ccdc115,0.000893825954861111
Gm28306,0
Imp4,0.000816514756944445
Ptpn18,3.52647569444444e-05
4930568A12Rik,0
Prss39,0
Cfc1,0
Prss40,0
1700101I19Rik,0
Amer3,7.73111979166667e-05
Arhgef4,0.000116644965277778
Gm38336,1.220703125e-05
Fam168b,0.00145941840277778
Plekhb2,0.000245496961805556
Gm37068,0
Gm28415,0
1110002O04Rik,1.35633680555556e-06
Gm37146,0
Gm33222,0
4930535G08Rik,0
Hs6st1,0.000145128038194444
Gm37335,0
Gm33280,0
Uggt1,0.000290256076388889
Neurl3,0
Arid5a,3.52647569444444e-05
4930403P22Rik,2.30577256944444e-05
Kansl3,0.000587293836805556
Fer1l5,0
Lman2l,0.000807020399305556
Cnnm4,4.06901041666667e-05
Cnnm3,0.000298394097222222
Gm38033,0
Ankrd23,2.71267361111111e-06
Gm43543,0
Ankrd39,0.000259060329861111
Sema4c,0.000230577256944444
Fam178b,1.35633680555556e-06
Cox5b,0.0106241861979167
Actr1b,0.000962999131944444
4933424G06Rik,2.71267361111111e-06
Gm33533,0
Zap70,8.13802083333333e-06
Tmem131,0.000287543402777778
Vwa3b,1.08506944444444e-05
Gm37020,1.35633680555556e-06
Cnga3,0
Inpp4a,0.000310601128472222
4930439A04Rik,0
Coa5,0.000297037760416667
Unc50,0.000802951388888889
Mgat4a,2.84830729166667e-05
2010300C02Rik,2.71267361111111e-06
4930556I23Rik,0
Tsga10,0.000165473090277778
Gm26805,0
Lipt1,5.69661458333333e-05
Mitd1,0.000358072916666667
Mrpl30,0.00474853515625
Lyg2,0
Gm15457,0
Lyg1,0
Txndc9,0.00281982421875
Eif5b,0.00363091362847222
Rev1,0.000368923611111111
Gm5099,0
Aff3,0.00057373046875
Gm16150,2.71267361111111e-06
Gm16151,0
Gm16152,0.000652398003472222
Lonrf2,0.000176323784722222
Chst10,0.000421820746527778
Gm37707,0
Nms,0
Pdcl3,0.00205891927083333
Gm37821,0
Npas2,0
Rpl31,0.0479397243923611
Tbc1d8,6.23914930555556e-05
Cnot11,0.000404188368055556
Rnf149,0.000604926215277778
Creg2,4.06901041666667e-06
D930019O06Rik,0
Rfx8,2.71267361111111e-06
Gm3646,0
1700066B17Rik,4.06901041666667e-06
Map4k4,0.00275065104166667
Il1r2,2.71267361111111e-06
Gm16894,1.08506944444444e-05
Il1r1,2.71267361111111e-06
Il1rl2,2.71267361111111e-06
Il1rl1,1.35633680555556e-06
Il18r1,0
Il18rap,0
Gm35801,0
Slc9a4,0
Slc9a2,0
Gm37623,0
Gm37915,0
Mfsd9,3.52647569444444e-05
Tmem182,0
4930448I06Rik,0
Gm28634,2.71267361111111e-06
Gm29260,0.00035400390625
Gm9915,3.93337673611111e-05
Gm29664,0
Gm28175,4.06901041666667e-06
Gm28140,0
Pantr1,0.0193657769097222
Pou3f3,0.00402696397569444
Dalir,2.71267361111111e-06
Mrps9,0.00105116102430556
Gpr45,0.000374348958333333
Tgfbrap1,0.000189887152777778
