feature,sumsArray
Xkr4,11
Gm1992,0
Gm37381,0
Rp1,1
Rp1.1,0
Sox17,4
Gm37323,0
Mrpl15,1837
Lypla1,296
Gm37988,0
Tcea1,951
Rgs20,176
Gm16041,0
Atp6v1h,929
Oprk1,0
Npbwr1,1
Rb1cc1,481
4732440D04Rik,42
Fam150a,0
St18,23
Pcmtd1,553
Gm26901,21
Gm30414,0
Sntg1,13
Rrs1,548
Adhfe1,16
3110035E14Rik,138
Gm29520,0
Mybl1,19
Vcpip1,145
1700034P13Rik,3
Sgk3,31
Mcmdc2,12
Snhg6,2530
Tcf24,0
Ppp1r42,3
Gm15818,0
Cops5,2114
Cspp1,782
Arfgef1,234
Cpa6,1
Prex2,27
A830018L16Rik,17
Gm17644,0
Gm29663,0
Sulf1,11
Slco5a1,227
Gm29283,0
Prdm14,0
Ncoa2,172
Gm29570,0
Tram1,330
Lactb2,30
Xkr9,0
Eya1,104
Gm9947,1
Msc,2
Trpa1,0
Kcnb2,226
Terf1,257
Sbspon,2
4930444P10Rik,20
Rpl7,36171
Rdh10,42
Gm28095,0
Stau2,736
Gm7568,0
Ube2w,636
Tceb1,4177
D030040B21Rik,8
Tmem70,967
Ly96,33
Gm28376,0
Jph1,53
Gm28783,0
Gdap1,586
Gm28784,0
Pi15,0
Gm28154,0
Gm16070,2
Crispld1,1
Gm28153,0
Crisp4,0
Defb18,0
Defb41,0
Gm29006,0
Gm15825,0
Tfap2d,65
Tfap2b,1
Gm28340,0
Pkhd1,0
4930486I03Rik,0
Gm28653,0
Il17a,0
Il17f,0
Mcm3,372
Gm28065,0
6720483E21Rik,4
Paqr8,210
Efhc1,6
Tram2,19
Gm28287,0
Tmem14a,208
Gsta3,3
Gm28836,0
Khdc1a,0
Khdc1c,0
Khdc1b,0
Kcnq5,6
Gm26580,0
Rims1,59
4933415F23Rik,1
Gm27028,0
Gm29107,5
Ogfrl1,294
Gm28822,18
B3gat2,227
Smap1,1498
Sdhaf4,1456
Fam135a,153
Col9a1,11
Col19a1,6
Lmbrd1,184
Gm28237,0
Gm29414,0
Adgrb3,211
4931408C20Rik,0
Gm5524,0
Gm597,0
Gm9898,0
Phf3,931
Ptp4a1,2073
Gm29669,0
Gm28644,0
4931428L18Rik,0
Gm29128,0
Lgsn,0
Pih1d3,0
Khdrbs2,804
Gm5415,1
Gm37724,0
Gm37591,0
Prim2,325
Rab23,252
Bag2,262
Zfp451,652
Bend6,142
Dst,462
Gm37958,0
Gm37233,17
Ccdc115,659
Gm28306,0
Imp4,602
Ptpn18,26
4930568A12Rik,0
Prss39,0
Cfc1,0
Prss40,0
1700101I19Rik,0
Amer3,57
Arhgef4,86
Gm38336,9
Fam168b,1076
Plekhb2,181
Gm37068,0
Gm28415,0
1110002O04Rik,1
Gm37146,0
Gm33222,0
4930535G08Rik,0
Hs6st1,107
Gm37335,0
Gm33280,0
Uggt1,214
Neurl3,0
Arid5a,26
4930403P22Rik,17
Kansl3,433
Fer1l5,0
Lman2l,595
Cnnm4,30
Cnnm3,220
Gm38033,0
Ankrd23,2
Gm43543,0
Ankrd39,191
Sema4c,170
Fam178b,1
Cox5b,7833
Actr1b,710
4933424G06Rik,2
Gm33533,0
Zap70,6
Tmem131,212
Vwa3b,8
Gm37020,1
Cnga3,0
Inpp4a,229
4930439A04Rik,0
Coa5,219
Unc50,592
Mgat4a,21
2010300C02Rik,2
4930556I23Rik,0
Tsga10,122
Gm26805,0
Lipt1,42
Mitd1,264
